,freq,ave,std,ave+std,max
2163,3379.6875,0.40475874231436687,0.2372500728315778,1.1165089608091003,0.9121598046209418
2164,3381.25,0.3385933826495267,0.18070378563689093,0.8807047395601995,0.7444352717740489
2165,3382.8125,0.33148856891730694,0.19446110962479263,0.9148718977916849,0.9507392137406503
2166,3384.375,0.32599444474398703,0.2393654489710962,1.0440907916572757,1.1015631269280506
2167,3385.9375,0.3526882702997201,0.21543549324933742,0.9989947500477323,0.9319094572914984
2168,3387.5,0.3471297907904853,0.22271094240203,1.0152626179965754,1.1053003765575127
2169,3389.0625,0.3597435309842799,0.25070050276058276,1.1118450392660282,1.0722434754372696
2170,3390.625,0.4179687437333831,0.27083639715959607,1.2304779352121713,1.355369123689294
2171,3392.1875,0.43264845023164766,0.22050759088659627,1.0941712228914364,1.2084222914455034
2172,3393.75,0.36366995818855696,0.18969984734232223,0.9327695002155236,0.833528571018209
2173,3395.3125,0.3143591924710648,0.2155613460266304,0.9610432305509561,0.8584202312171454
2174,3396.875,0.367840507504615,0.21906102349827034,1.025023577999426,0.920071317651213
2175,3398.4375,0.355521288992951,0.20471773395555892,0.9696744908596278,0.8553188691838403
2176,3400.0,0.3461027001261838,0.21127127167005305,0.9799165151363429,0.7387019660708186
2177,3401.5625,0.35234005348950626,0.15811304752363942,0.8266791960604245,0.7893249802651112
2178,3403.125,0.37760223236423907,0.22699780744347747,1.0585956546946713,1.0138943235520845
2179,3404.6875,0.35532136244171614,0.21455351056753938,0.9989818941443342,0.8006931182400177
2180,3406.25,0.3478040201142634,0.20170239403098,0.9529112022072035,1.0144592500698046
2181,3407.8125,0.4137410424176672,0.20946360234628122,1.0421318494565108,0.8941868720680058
2182,3409.375,0.4158822841819857,0.19514959678074634,1.0013310745242245,0.798257954484506
2183,3410.9375,0.33069278601131014,0.18607448969326962,0.888916255091119,0.8465131724064433
2184,3412.5,0.3498437381792143,0.20169161966668242,0.9549185971792615,0.9132426118037013
2185,3414.0625,0.3608283890013846,0.22734558007027533,1.0428651292122106,0.9485433913709381
2186,3415.625,0.4276218312760476,0.2361515310102959,1.1360764243069352,0.859061802002647
2187,3417.1875,0.42518097140226313,0.23956053400401267,1.143862573414301,0.9766650129264676
2188,3418.75,0.36959872914063907,0.23452482914641606,1.0731732165798873,0.8921591743134315
2189,3420.3125,0.418105650656459,0.2501825441594488,1.1686532831348053,1.0316639037085236
2190,3421.875,0.41088459945314965,0.22547560495150534,1.0873114143076656,0.9396992643825531
2191,3423.4375,0.4020315271962808,0.2444618095672598,1.1354169558980602,1.00924347024366
2192,3425.0,0.36434846253697545,0.20947757011585155,0.9927811728845302,0.8636845519827393
2193,3426.5625,0.40221795364937224,0.22114958863739295,1.065666719561551,0.9267639705299859
2194,3428.125,0.34902785196512387,0.21562065700332203,0.99588982297509,0.9554127228160383
2195,3429.6875,0.3256637757419765,0.18442133882464662,0.8789277922159164,0.8494852216709688
2196,3431.25,0.35250302357711677,0.20896051665786042,0.9793845735506981,0.8725122666585119
2197,3432.8125,0.3710325835241125,0.22446559344317915,1.04442936385365,0.8149706028952262
2198,3434.375,0.32990580566914945,0.1479962361723049,0.7738945141860641,0.6098564920080618
2199,3435.9375,0.3053887168708168,0.19362926449346363,0.8862765103512077,0.858809233548613
2200,3437.5,0.2767444555166864,0.1466713785704508,0.7167585912280388,0.6586805310155159
2201,3439.0625,0.3258405051329021,0.21516891670438584,0.9713472552460596,0.8148988123475939
2202,3440.625,0.3935206149849965,0.207714272679156,1.0166634330224644,0.8175264298227348
2203,3442.1875,0.40341273374970366,0.2120671786619286,1.0396142697354893,0.8673829782602261
2204,3443.75,0.38641665258388497,0.24154173261023942,1.1110418504146033,1.1877998117863207
2205,3445.3125,0.37519882585726383,0.25201942574819286,1.1312571031018424,0.9472876171879403
2206,3446.875,0.3794367144483227,0.23925746707138468,1.0972091156624768,1.1804869879932942
2207,3448.4375,0.3535207297429415,0.2465724136278389,1.0932379706264583,0.9883130144084364
2208,3450.0,0.3730314532736887,0.22524600641665599,1.0487694725236567,1.0659698195465344
2209,3451.5625,0.31508114785374564,0.17746347335113039,0.8474715679071367,0.7908446846443962
2210,3453.125,0.3622597413847843,0.19447256578880806,0.9456774387512086,0.8295873871669786
2211,3454.6875,0.37747780893834326,0.24392603829789938,1.1092559238320414,0.9175344943137831
2212,3456.25,0.3789261419752488,0.2435124957282579,1.1094636291600224,0.9712935548810097
2213,3457.8125,0.37812966368704426,0.23042556326272867,1.0694063534752303,0.9272018920788573
2214,3459.375,0.3350701804895516,0.20608942386326884,0.9533384520793581,0.8662429269157929
2215,3460.9375,0.374681474006442,0.22872949294457903,1.060869952840179,0.9243736627454885
2216,3462.5,0.3192331460358367,0.23227967233942728,1.0160721630541185,1.0473451844499158
2217,3464.0625,0.29996426565425377,0.14439137593114096,0.7331383934476767,0.6194800259628751
2218,3465.625,0.34441817100858824,0.1683624624920253,0.8495055584846642,0.7075053211383433
2219,3467.1875,0.3635626937706082,0.1940819322793453,0.9458084906086441,0.8126212799020306
2220,3468.75,0.37329680084628497,0.2053099288641204,0.9892265874386461,0.9938347795029129
2221,3470.3125,0.3845323320389808,0.2573535624710538,1.156593019452142,1.248594456413967
2222,3471.875,0.40143412249010657,0.2366462552960834,1.111372888378357,1.1903683025375564
2223,3473.4375,0.38958930023181604,0.30749748628037443,1.3120817590729392,1.7274308101809814
2224,3475.0,0.36754037200526374,0.29387509928897965,1.2491656698722027,1.5053116750313484
2225,3476.5625,0.3417801205737739,0.17967279389140847,0.8807985022479994,0.9816007223858826
2226,3478.125,0.3944632350241616,0.22812642954048462,1.0788425236456156,0.9235271647064875
2227,3479.6875,0.4105701536427714,0.18800317380540693,0.9745796750589922,0.7901108899856306
2228,3481.25,0.36247769564094245,0.14605151794995438,0.8006322494908056,0.7359835095398971
2229,3482.8125,0.3624862935415826,0.1902610443652369,0.9332694266372934,0.7501225539522419
2230,3484.375,0.3749736456161266,0.20882048475827125,1.0014350998909403,0.9739172355728121
2231,3485.9375,0.3738573266426961,0.25075362536700857,1.1261182027437218,1.2577266612187707
2232,3487.5,0.384244881608913,0.20324097839625668,0.9939678167976831,0.9769731308852534
2233,3489.0625,0.346768620673454,0.16334752349824053,0.8368111911681755,0.6624331428489384
2234,3490.625,0.36838825618898635,0.21567405828358632,1.0154104310397454,0.8522210434681755
